
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100     2,733,600         198,890,873             56,918                   0                  0        16,232,491          214,658            27,336         1,988,339                 0        160,178                         72     0
       100     2,747,200         199,542,569             56,918                   0                  0        14,712,275          214,658            27,472         1,994,856                 0        144,976                         72     0
       100     2,760,800         200,194,245             56,918                   0                  0        14,980,303          214,658            27,608         2,001,373                 0        147,656                         72     0
       100     2,774,400         200,837,445             56,918                   0                  0        15,998,858          214,658            27,744         2,007,805                 0        157,842                         72     0
       100     2,788,000         201,484,041             56,918                   0                  0        15,130,357          214,658            27,880         2,014,271                 0        149,156                         72     0
       100     2,801,600         202,134,040             56,918                   0                  0        14,159,964          214,658            28,016         2,020,771                 0        139,453                         72     0
       100     2,815,200         202,784,047             56,918                   0                  0        13,811,065          214,658            28,152         2,027,271                 0        135,964                         72     0
       100     2,828,800         203,428,944             56,918                   0                  0        14,202,845          214,658            28,288         2,033,720                 0        139,881                         71     0
       100     2,842,400         204,080,643             56,918                   0                  0        15,544,331          214,658            28,424         2,040,237                 0        153,296                         71     0
       100     2,856,000         204,728,963             56,918                   0                  0        15,083,793          214,658            28,560         2,046,720                 0        148,691                         71     0
       100     2,869,600         205,375,548             56,918                   0                  0        18,025,157          214,658            28,696         2,053,186                 0        178,104                         71     0
       100     2,883,200         206,023,845             56,918                   0                  0        17,724,737          214,658            28,832         2,059,669                 0        175,100                         71     0
       100     2,896,800         206,670,445             56,918                   0                  0        16,606,627          214,658            28,968         2,066,135                 0        163,919                         71     0
       100     2,910,400         207,318,748             56,918                   0                  0        16,856,972          214,658            29,104         2,072,618                 0        166,423                         71     0
       100     2,924,000         207,968,746             56,918                   0                  0        15,916,799          214,658            29,240         2,079,118                 0        157,021                         71     0
       100     2,937,600         208,620,443             56,918                   0                  0        16,300,614          214,658            29,376         2,085,635                 0        160,859                         70     0
       100     2,951,200         209,273,841             56,918                   0                  0        16,714,379          214,658            29,512         2,092,169                 0        164,997                         70     0
       100     2,964,800         209,917,048             56,918                   0                  0        16,107,681          214,658            29,648         2,098,601                 0        158,930                         70     0
       100     2,978,400         210,558,544             56,918                   0                  0        16,980,742          214,658            29,784         2,105,016                 0        167,660                         70     0
       100     2,992,000         211,206,844             56,918                   0                  0        18,826,500          214,658            29,920         2,111,499                 0        186,118                         70     0
       100     3,005,600         211,861,945             56,918                   0                  0        17,869,068          214,658            30,056         2,118,050                 0        176,544                         70     0
       100     3,019,200         212,508,540             56,918                   0                  0        18,445,450          214,658            30,192         2,124,516                 0        182,307                         70     0
       100     3,032,800         213,158,543             56,918                   0                  0        18,216,655          214,658            30,328         2,131,016                 0        180,019                         70     0
       100     3,046,400         213,801,748             56,918                   0                  0        16,868,034          214,658            30,464         2,137,448                 0        166,533                         70     0
       100     3,060,000         214,455,163             56,918                   0                  0        16,540,765          214,658            30,600         2,143,982                 0        163,261                         70     0
       100     3,073,600         215,094,942             56,918                   0                  0        18,260,189          214,658            30,736         2,150,380                 0        180,455                         69     0
       100     3,087,200         215,746,649             56,918                   0                  0        26,184,270          214,658            30,872         2,156,897                 0        259,696                         69     0
       100     3,100,800         216,396,646             56,918                   0                  0        20,624,838          214,658            31,008         2,163,397                 0        204,101                         69     0
       100     3,114,400         217,050,074             56,918                   0                  0        19,323,271          214,658            31,144         2,169,931                 0        191,086                         69     0
       100     3,128,000         217,694,979             56,918                   0                  0        18,026,577          214,658            31,280         2,176,380                 0        178,119                         69     0
